"Дата","Цель по инфляции","Инфляция","Ключевая ставка","Ставка RUOINIA","CNY","USD","EUR"
"2024-02-26","4,0%","7,4%","16,00%","15,75%","12,7809 ₽","92,6321 ₽","100,1776 ₽"
"2024-02-26","4,0%","7,4%","16,00%","15,75%","12,7809 ₽","92,6321 ₽","100,1776 ₽"
"2024-02-26","4,0%","7,4%","16,00%","15,75%","12,7809 ₽","92,6321 ₽","100,1776 ₽"
"2024-02-26","4,0%","7,4%","16,00%","15,75%","12,7809 ₽","92,6321 ₽","100,1776 ₽"
"2024-02-26","4,0%","7,4%","16,00%","15,75%","12,7809 ₽","92,6321 ₽","100,1776 ₽"
"2024-02-26","4,0%","7,4%","16,00%","15,75%","12,7809 ₽","92,6321 ₽","100,1776 ₽"
"2024-02-26","4,0%","7,4%","16,00%","15,75%","12,7809 ₽","92,6321 ₽","100,1776 ₽"
"2024-02-26","4,0%","7,4%","16,00%","15,75%","12,7809 ₽","92,6321 ₽","100,1776 ₽"
"2024-02-26","4,0%","7,4%","16,00%","15,75%","12,7809 ₽","92,6321 ₽","100,1776 ₽"
"2024-02-26","4,0%","7,4%","16,00%","15,75%","12,7809 ₽","92,6321 ₽","100,1776 ₽"
"2024-02-26","4,0%","7,4%","16,00%","15,75%","12,7809 ₽","92,6321 ₽","100,1776 ₽"
"2024-02-26","4,0%","7,4%","16,00%","15,75%","12,7809 ₽","92,6321 ₽","100,1776 ₽"
"2024-02-29","4,0%","7,4%","16,00%","15,70%","12,5675 ₽","90,8423 ₽","98,5447 ₽"
"2024-02-29","4,0%","7,4%","16,00%","15,70%","12,5675 ₽","90,8423 ₽","98,5447 ₽"
"2024-02-29","4,0%","7,4%","16,00%","15,70%","12,5675 ₽","90,8423 ₽","98,5447 ₽"
"2024-02-29","4,0%","7,4%","16,00%","15,70%","12,5675 ₽","90,8423 ₽","98,5447 ₽"
"2024-02-29","4,0%","7,4%","16,00%","15,70%","12,5675 ₽","90,8423 ₽","98,5447 ₽"
"2024-03-03","4,0%","7,4%","16,00%","15,75%","12,6316 ₽","91,3336 ₽","98,7225 ₽"
"2024-03-03","4,0%","7,4%","16,00%","15,75%","12,6316 ₽","91,3336 ₽","98,7225 ₽"
"2024-03-03","4,0%","7,4%","16,00%","15,75%","12,6316 ₽","91,3336 ₽","98,7225 ₽"
"2024-03-03","4,0%","7,4%","16,00%","15,75%","12,6316 ₽","91,3336 ₽","98,7225 ₽"
"2024-03-03","4,0%","7,4%","16,00%","15,75%","12,6316 ₽","91,3336 ₽","98,7225 ₽"
"2024-03-03","4,0%","7,4%","16,00%","15,75%","12,6316 ₽","91,3336 ₽","98,7225 ₽"
"2024-03-03","4,0%","7,4%","16,00%","15,75%","12,6316 ₽","91,3336 ₽","98,7225 ₽"
"2024-03-03","4,0%","7,4%","16,00%","15,75%","12,6316 ₽","91,3336 ₽","98,7225 ₽"
"2024-03-03","4,0%","7,4%","16,00%","15,75%","12,6316 ₽","91,3336 ₽","98,7225 ₽"
"2024-03-03","4,0%","7,4%","16,00%","15,75%","12,6316 ₽","91,3336 ₽","98,7225 ₽"
"2024-03-03","4,0%","7,4%","16,00%","15,75%","12,6316 ₽","91,3336 ₽","98,7225 ₽"
"2024-03-03","4,0%","7,4%","16,00%","15,75%","12,6316 ₽","91,3336 ₽","98,7225 ₽"
"2024-03-07","4,0%","7,4%","16,00%","15,40%","12,5756 ₽","90,7493 ₽","98,8767 ₽"
"2024-03-07","4,0%","7,4%","16,00%","15,40%","12,5756 ₽","90,7493 ₽","98,8767 ₽"
"2024-03-07","4,0%","7,4%","16,00%","15,40%","12,5756 ₽","90,7493 ₽","98,8767 ₽"
"2024-03-07","4,0%","7,4%","16,00%","15,40%","12,5756 ₽","90,7493 ₽","98,8767 ₽"
"2024-03-07","4,0%","7,4%","16,00%","15,40%","12,5756 ₽","90,7493 ₽","98,8767 ₽"
"2024-03-07","4,0%","7,4%","16,00%","15,40%","12,5756 ₽","90,7493 ₽","98,8767 ₽"
"2024-03-07","4,0%","7,4%","16,00%","15,40%","12,5756 ₽","90,7493 ₽","98,8767 ₽"
"2024-03-07","4,0%","7,4%","16,00%","15,40%","12,5756 ₽","90,7493 ₽","98,8767 ₽"
"2024-03-07","4,0%","7,4%","16,00%","15,40%","12,5756 ₽","90,7493 ₽","98,8767 ₽"
"2024-03-07","4,0%","7,4%","16,00%","15,40%","12,5756 ₽","90,7493 ₽","98,8767 ₽"
"2024-03-07","4,0%","7,4%","16,00%","15,40%","12,5756 ₽","90,7493 ₽","98,8767 ₽"
"2024-03-07","4,0%","7,4%","16,00%","15,40%","12,5756 ₽","90,7493 ₽","98,8767 ₽"
"2024-03-07","4,0%","7,4%","16,00%","15,40%","12,5756 ₽","90,7493 ₽","98,8767 ₽"
"2024-03-07","4,0%","7,4%","16,00%","15,40%","12,5756 ₽","90,7493 ₽","98,8767 ₽"
"2024-03-07","4,0%","7,4%","16,00%","15,40%","12,5756 ₽","90,7493 ₽","98,8767 ₽"
